userName,score,label,text_1,text_2
Pengguna Google,5,1,sangat tingkatkan bisa naik ke ruang kelas,tingkatkan ruang kelas
Pengguna Google,5,1,mobile jkn sangat baik dan bermanfaat,mobile jkn bermanfaat
Pengguna Google,5,1,saya sangat puas dengan kinerja pemerintahan kota bekasi,puas kinerja pemerintahan kota bekasi
Pengguna Google,5,1,terimakasih bpjs maaf ya turun kelas semoga kami diber rejeki bisa kembali ke kelas amin,bpjs maaf turun kelas semoga diber rejeki kelas amin
Pengguna Google,5,1,aplikasi ini sangat membantu dan memudahkan kami mengetahui status bpjs kesehatan,aplikasi membantu memudahkan status bpjs kesehatan
Pengguna Google,5,1,respon dan pelayanannya saja kirim tentang keluhan jkn saya yang beberapa menit dapat telfon dari admin mobile jkn dan di situ di jelaskan sama mbak mobile jkn,respon pelayanannya kirim keluhan jkn menit telfon admin mobile jkn situ mbak mobile jkn
Pengguna Google,5,1,mantap sekarang bisa ganti nomor hp sama email enggak ribet lagi,mantap ganti nomor hp email ribet
Pengguna Google,5,1,bagus semoga layanannya di lapangan lebih bagus dari aplikasi,bagus semoga layanannya lapangan bagus aplikasi
Pengguna Google,5,1,aplikasi cepat responnya,aplikasi cepat responnya
Pengguna Google,5,1,membantu sekali hanya saja merubah data harus ke kantor pelayanan,membantu merubah data kantor pelayanan
Pengguna Google,5,1,biar lebih mudah pengecekannya,biar mudah pengecekannya
Pengguna Google,5,1,akses mudah dan sangat membantu informasi kesehatan,akses mudah membantu informasi kesehatan
Pengguna Google,5,1,sangat berguna sekali untuk saya saya jadi tahu kalo ada sisa tunggakan pindah fakses ganti alamat dll bagi yang enggak bisa budayakan membaca sampai selesai cermati dan fahami semua cara ada petunjiknya kok disini ok,berguna sisa tunggakan pindah fakses ganti alamat budayakan membaca selesai cermati fahami petunjiknya ok
Pengguna Google,5,1,segala urusan kesehatan jadi lebih mudah,urusan kesehatan mudah
Pengguna Google,5,1,memudahkaan dalam pendaftaran faskes dan berobat,memudahkaan pendaftaran faskes berobat
Pengguna Google,5,1,sangat membantu dan user friendly terima kasih,membantu user friendly
Pengguna Google,5,1,sudah mantap tapi kadang trobel,mantap kadang trobel
Pengguna Google,5,1,profesional modern terdepan dan sangat mudah untuk kesehatan masyarakat,profesional modern terdepan mudah kesehatan masyarakat
Pengguna Google,5,1,dapat memudahkan dalam layanan kesehatan,memudahkan layanan kesehatan
Pengguna Google,5,1,mantap lebih mudah lebih aman god job,mantap mudah aman god job
Pengguna Google,5,1,setelah menunggu beberapa sudah bisa login lagi jkn mobile saya terima kasih banyak,menunggu login jkn mobile
Pengguna Google,5,1,segala keluhan yang diutarakan segera di tanggapi dengan jelas,keluhan diutarakan tanggapi
Pengguna Google,5,1,sangat membantu terima kasih sukses sehat selalu,membantu sukses sehat
Pengguna Google,5,1,alhamdulillah selalu mempermudah dimna saja kita brobat,alhamdulillah mempermudah dimna brobat
Pengguna Google,5,1,aplikasi mobile jkn cepat diakses,aplikasi mobile jkn cepat diakses
Pengguna Google,5,1,keren aplikasinya gampang pakai nya,keren aplikasinya gampang pakai
Pengguna Google,5,1,sangat membantu layanan puas,membantu layanan puas
Pengguna Google,5,1,aplikasi mobile jkn yang sangat membantu baik dan benar,aplikasi mobile jkn membantu
Pengguna Google,5,1,mantap bisa pindah faskes dan kelas secara mandiri tanpa antri ke kantor bpjs kesehatan,mantap pindah faskes kelas mandiri antri kantor bpjs kesehatan
Pengguna Google,5,1,sangat memudahkan untuk akses kartu bpjs tanpa harus bawa kartunya tapi kadang suka logout sendiri,memudahkan akses kartu bpjs bawa kartunya kadang suka logout
Pengguna Google,5,1,bagus sekali cepat kerjanya,bagus cepat kerjanya
Pengguna Google,5,1,sangat memudahkan memindah faskes,memudahkan memindah faskes
Pengguna Google,5,1,sangat membantu sekali dalam perubahan lokasi dan penambahan peserta,membantu perubahan lokasi penambahan peserta
Pengguna Google,5,1,semakin efisien pelayananan bpjs kesehatan melalui aplikasi jkn sangat membantu untuk peserta karena lebih cepat mudah dan lain lain,efisien pelayananan bpjs kesehatan aplikasi jkn membantu peserta cepat mudah
Pengguna Google,5,1,sejauh ini sih sangat terbantu karena daftat bpjs gaperlu kekantor cukup lewat aplikasi ini thanks mobile jkn terus tingkatkan pelayanan nya ya,terbantu daftat bpjs gaperlu kekantor aplikasi thanks mobile jkn tingkatkan pelayanan
Pengguna Google,5,1,lebih mudah melakukan pelayanan di fasilitas kesehatan,mudah pelayanan fasilitas kesehatan
